DateTime,Outdoor_Temperature,DH_Heating_Rate
 12/18  20:30:00,-1.345,306.54
 12/18  20:45:00,-1.1825,303.67
 12/18  21:00:00,-1.02,301.92
 12/18  21:15:00,-0.8575,303.73
 12/18  21:30:00,-0.695,304.56
 12/18  21:45:00,-0.5325,302.13
 12/18  22:00:00,-0.37,303.56
 12/18  22:15:00,-0.2075,304.44
 12/18  22:30:00,-0.045,299.61
 12/18  22:45:00,0.1175,305.1
 12/18  23:00:00,0.28,301.7
 12/18  23:15:00,0.315,300.28
 12/18  23:30:00,0.35,302.45
 12/18  23:45:00,0.385,302.23
 12/18  24:00:00,0.42,301.87
 12/19  00:15:00,0.4575,306.83
 12/19  00:30:00,0.495,309.03
 12/19  00:45:00,0.5325,310.6
 12/19  01:00:00,0.57,309.51
 12/19  01:15:00,0.605,309.31
 12/19  01:30:00,0.64,308.84
 12/19  01:45:00,0.675,309.62
 12/19  02:00:00,0.71,310.6
 12/19  02:15:00,0.5025,306.89
 12/19  02:30:00,0.295,306.06
 12/19  02:45:00,0.0875,301.64
 12/19  03:00:00,-0.12,310.48
 12/19  03:15:00,-0.33,307.59
 12/19  03:30:00,-0.54,312.54
 12/19  03:45:00,-0.75,309.04
 12/19  04:00:00,-0.96,311.68
 12/19  04:15:00,-1.17,313.34
 12/19  04:30:00,-1.38,317.04
 12/19  04:45:00,-1.59,316.35
 12/19  05:00:00,-1.8,315.43
 12/19  05:15:00,-2.0225,318.82
 12/19  05:30:00,-2.245,321.09
 12/19  05:45:00,-2.4675,321.53
 12/19  06:00:00,-2.69,319.73
 12/19  06:15:00,-2.915,322.92
 12/19  06:30:00,-3.14,323.37
 12/19  06:45:00,-3.365,324.46
 12/19  07:00:00,-3.59,324.07
 12/19  07:15:00,-3.8125,326.87
 12/19  07:30:00,-4.035,327.02
 12/19  07:45:00,-4.2575,326.73
 12/19  08:00:00,-4.48,327.79
 12/19  08:15:00,-4.245,327.31
 12/19  08:30:00,-4.01,320.36
 12/19  08:45:00,-3.775,317.29
 12/19  09:00:00,-3.54,313.67
 12/19  09:15:00,-3.3075,307.06
 12/19  09:30:00,-3.075,305.9
 12/19  09:45:00,-2.8425,302.15
 12/19  10:00:00,-2.61,299.06
 12/19  10:15:00,-2.375,293.39
 12/19  10:30:00,-2.14,292.57
 12/19  10:45:00,-1.905,288.96
 12/19  11:00:00,-1.67,286.31
 12/19  11:15:00,-1.5075,285.9
 12/19  11:30:00,-1.345,284.52
 12/19  11:45:00,-1.1825,278.62
 12/19  12:00:00,-1.02,278.45
 12/19  12:15:00,-0.8575,275.05
 12/19  12:30:00,-0.695,274.92
 12/19  12:45:00,-0.5325,272.24
 12/19  13:00:00,-0.37,270.28
 12/19  13:15:00,-0.2075,269.92
 12/19  13:30:00,-0.045,265.18
 12/19  13:45:00,0.1175,262.18
 12/19  14:00:00,0.28,263.88
 12/19  14:15:00,0.155,265.08
 12/19  14:30:00,0.03,269.49
 12/19  14:45:00,-0.095,270.08
 12/19  15:00:00,-0.22,277.01
 12/19  15:15:00,-0.345,280.21
 12/19  15:30:00,-0.47,284.31
 12/19  15:45:00,-0.595,285.54
 12/19  16:00:00,-0.72,292.13
 12/19  16:15:00,-0.845,294.6
 12/19  16:30:00,-0.97,298.68
 12/19  16:45:00,-1.095,300.93
 12/19  17:00:00,-1.22,303.05
 12/19  17:15:00,-1.2425,303.18
 12/19  17:30:00,-1.265,305.89
 12/19  17:45:00,-1.2875,301.82
 12/19  18:00:00,-1.31,304.54
 12/19  18:15:00,-1.3325,306.72
 12/19  18:30:00,-1.355,306.96
 12/19  18:45:00,-1.3775,306.26
 12/19  19:00:00,-1.4,308.73
 12/19  19:15:00,-1.4225,307.4
 12/19  19:30:00,-1.445,306.97
 12/19  19:45:00,-1.4675,308.68
 12/19  20:00:00,-1.49,311.46
 12/19  20:15:00,-1.4725,304.96
 12/19  20:30:00,-1.455,303.74
 12/19  20:45:00,-1.4375,304.18
 12/19  21:00:00,-1.42,301.21
 12/19  21:15:00,-1.4,305.36
 12/19  21:30:00,-1.38,302.77
 12/19  21:45:00,-1.36,304.5
 12/19  22:00:00,-1.34,304.33
 12/19  22:15:00,-1.3225,303.05
 12/19  22:30:00,-1.305,304.12
 12/19  22:45:00,-1.2875,302.54
 12/19  23:00:00,-1.27,304.02
 12/19  23:15:00,-1.285,304.57
 12/19  23:30:00,-1.3,302.42
 12/19  23:45:00,-1.315,306.48
 12/19  24:00:00,-1.33,302.61
 12/20  00:15:00,-1.3425,308.81
 12/20  00:30:00,-1.355,312.23
 12/20  00:45:00,-1.3675,313.61
 12/20  01:00:00,-1.38,311.37
 12/20  01:15:00,-1.395,311.85
 12/20  01:30:00,-1.41,312.27
 12/20  01:45:00,-1.425,313.67
 12/20  02:00:00,-1.44,309.28
 12/20  02:15:00,-1.495,310.79
 12/20  02:30:00,-1.55,303.94
 12/20  02:45:00,-1.605,307.78
 12/20  03:00:00,-1.66,307.15
 12/20  03:15:00,-1.7175,307.54
 12/20  03:30:00,-1.775,307.98
 12/20  03:45:00,-1.8325,307.93
 12/20  04:00:00,-1.89,309.46
 12/20  04:15:00,-1.945,307.89
 12/20  04:30:00,-2,307.47
 12/20  04:45:00,-2.055,308.97
 12/20  05:00:00,-2.11,310.34
 12/20  05:15:00,-2.0925,309.55
 12/20  05:30:00,-2.075,306.74
 12/20  05:45:00,-2.0575,309.73
 12/20  06:00:00,-2.04,308.76
 12/20  06:15:00,-2.02,308.82
 12/20  06:30:00,-2,307.18
 12/20  06:45:00,-1.98,307.96
 12/20  07:00:00,-1.96,305.01
 12/20  07:15:00,-1.9425,309.26
 12/20  07:30:00,-1.925,306.83
 12/20  07:45:00,-1.9075,305.8
 12/20  08:00:00,-1.89,307.52
 12/20  08:15:00,-1.54,303.98
 12/20  08:30:00,-1.19,297.64
 12/20  08:45:00,-0.84,296.62
 12/20  09:00:00,-0.49,299.92
 12/20  09:15:00,-0.1425,296.77
 12/20  09:30:00,0.205,291.6
 12/20  09:45:00,0.5525,295.02
 12/20  10:00:00,0.9,292.86
 12/20  10:15:00,1.25,287.14
 12/20  10:30:00,1.6,288.78
 12/20  10:45:00,1.95,283.13
 12/20  11:00:00,2.3,282.61
 12/20  11:15:00,2.225,281.06
 12/20  11:30:00,2.15,284.81
 12/20  11:45:00,2.075,282.79
 12/20  12:00:00,2,283.73
 12/20  12:15:00,1.9275,283.04
 12/20  12:30:00,1.855,282.72
 12/20  12:45:00,1.7825,283.86
 12/20  13:00:00,1.71,284.89
 12/20  13:15:00,1.6375,282.63
 12/20  13:30:00,1.565,284.63
 12/20  13:45:00,1.4925,284.51
 12/20  14:00:00,1.42,285.9
 12/20  14:15:00,1.365,285.53
 12/20  14:30:00,1.31,283.64
 12/20  14:45:00,1.255,285.55
 12/20  15:00:00,1.2,284.99
 12/20  15:15:00,1.1425,283.85
 12/20  15:30:00,1.085,286.3
 12/20  15:45:00,1.0275,284.8
 12/20  16:00:00,0.97,283.7
 12/20  16:15:00,0.915,291.77
 12/20  16:30:00,0.86,292.09
 12/20  16:45:00,0.805,293.1
 12/20  17:00:00,0.75,295.45
 12/20  17:15:00,0.7725,291.6
 12/20  17:30:00,0.795,289.23
 12/20  17:45:00,0.8175,291.6
 12/20  18:00:00,0.84,289.37
 12/20  18:15:00,0.865,289.59
 12/20  18:30:00,0.89,287.59
 12/20  18:45:00,0.915,287.77
 12/20  19:00:00,0.94,288.16
 12/20  19:15:00,0.9625,282.73
 12/20  19:30:00,0.985,287.83
 12/20  19:45:00,1.0075,284.04
 12/20  20:00:00,1.03,282.73
 12/20  20:15:00,0.9325,276.66
 12/20  20:30:00,0.835,276
 12/20  20:45:00,0.7375,274.27
 12/20  21:00:00,0.64,275.34
 12/20  21:15:00,0.5425,275.03
 12/20  21:30:00,0.445,274.79
 12/20  21:45:00,0.3475,275.09
 12/20  22:00:00,0.25,275.45
 12/20  22:15:00,0.1525,273.27
 12/20  22:30:00,0.055,275.81
 12/20  22:45:00,-0.0425,274.28
 12/20  23:00:00,-0.14,276.64
 12/20  23:15:00,-0.17,273.77
 12/20  23:30:00,-0.2,276.54
 12/20  23:45:00,-0.23,273.88
 12/20  24:00:00,-0.26,275.83
 12/21  00:15:00,-0.2875,274.61
 12/21  00:30:00,-0.315,276.95
 12/21  00:45:00,-0.3425,275.83
 12/21  01:00:00,-0.37,275.24
 12/21  01:15:00,-0.4,278.15
 12/21  01:30:00,-0.43,276.08
 12/21  01:45:00,-0.46,276.29
 12/21  02:00:00,-0.49,278.96
 12/21  02:15:00,-0.6175,277.21
 12/21  02:30:00,-0.745,279.94
 12/21  02:45:00,-0.8725,281.21
 12/21  03:00:00,-1,281.97
 12/21  03:15:00,-1.13,283.62
 12/21  03:30:00,-1.26,289.41
 12/21  03:45:00,-1.39,285.77
 12/21  04:00:00,-1.52,291.07
 12/21  04:15:00,-1.65,288.91
 12/21  04:30:00,-1.78,291.74
 12/21  04:45:00,-1.91,294.81
 12/21  05:00:00,-2.04,295.04
 12/21  05:15:00,-2.11,297.54
 12/21  05:30:00,-2.18,297.22
 12/21  05:45:00,-2.25,297.28
 12/21  06:00:00,-2.32,300.43
 12/21  06:15:00,-2.39,299.09
 12/21  06:30:00,-2.46,300.21
 12/21  06:45:00,-2.53,302.56
 12/21  07:00:00,-2.6,302.05
 12/21  07:15:00,-2.67,306.92
 12/21  07:30:00,-2.74,306.4
 12/21  07:45:00,-2.81,310.17
 12/21  08:00:00,-2.88,311.4
 12/21  08:15:00,-2.6075,309.6
 12/21  08:30:00,-2.335,309.99
 12/21  08:45:00,-2.0625,308.91
 12/21  09:00:00,-1.79,308.83
 12/21  09:15:00,-1.5175,308.29
 12/21  09:30:00,-1.245,306.92
 12/21  09:45:00,-0.9725,307.86
 12/21  10:00:00,-0.7,305.69
 12/21  10:15:00,-0.4275,303.32
 12/21  10:30:00,-0.155,302.7
 12/21  10:45:00,0.1175,298.03
 12/21  11:00:00,0.39,301.08
 12/21  11:15:00,0.5075,297.03
 12/21  11:30:00,0.625,292.93
 12/21  11:45:00,0.7425,293.51
 12/21  12:00:00,0.86,287.18
 12/21  12:15:00,0.98,278.69
 12/21  12:30:00,1.1,268.76
 12/21  12:45:00,1.22,263.64
 12/21  13:00:00,1.34,260.65
 12/21  13:15:00,1.4575,256.81
 12/21  13:30:00,1.575,253.8
 12/21  13:45:00,1.6925,254.73
 12/21  14:00:00,1.81,253.57
 12/21  14:15:00,1.6,259.41
 12/21  14:30:00,1.39,266.4
 12/21  14:45:00,1.18,269.59
 12/21  15:00:00,0.97,272.53
 12/21  15:15:00,0.76,277.24
 12/21  15:30:00,0.55,284.91
 12/21  15:45:00,0.34,286.34
 12/21  16:00:00,0.13,287.53
 12/21  16:15:00,-0.08,283.55
 12/21  16:30:00,-0.29,286.11
 12/21  16:45:00,-0.5,285.37
 12/21  17:00:00,-0.71,285.86
 12/21  17:15:00,-0.865,284.7
 12/21  17:30:00,-1.02,284.93
 12/21  17:45:00,-1.175,285.05
 12/21  18:00:00,-1.33,285.41
 12/21  18:15:00,-1.485,284.47
 12/21  18:30:00,-1.64,280.63
 12/21  18:45:00,-1.795,279.6
 12/21  19:00:00,-1.95,283.77
 12/21  19:15:00,-2.105,285.82
 12/21  19:30:00,-2.26,289.69
 12/21  19:45:00,-2.415,289.79
 12/21  20:00:00,-2.57,290.94
 12/21  20:15:00,-2.53,287.04
 12/21  20:30:00,-2.49,289.48
 12/21  20:45:00,-2.45,287.49
 12/21  21:00:00,-2.41,285.73
 12/21  21:15:00,-2.3725,291.65
 12/21  21:30:00,-2.335,287.92
 12/21  21:45:00,-2.2975,290.3
 12/21  22:00:00,-2.26,291.62
 12/21  22:15:00,-2.22,290.76
 12/21  22:30:00,-2.18,292.73
 12/21  22:45:00,-2.14,292.2
 12/21  23:00:00,-2.1,291.34
 12/21  23:15:00,-2.2525,294.75
 12/21  23:30:00,-2.405,296.91
 12/21  23:45:00,-2.5575,296.15
 12/21  24:00:00,-2.71,300.64
 12/22  00:15:00,-2.865,299.26
 12/22  00:30:00,-3.02,301.18
 12/22  00:45:00,-3.175,304.64
 12/22  01:00:00,-3.33,303.11
 12/22  01:15:00,-3.4825,306.73
 12/22  01:30:00,-3.635,308.72
 12/22  01:45:00,-3.7875,310.26
 12/22  02:00:00,-3.94,309.12
 12/22  02:15:00,-3.8775,311.19
 12/22  02:30:00,-3.815,311.28
 12/22  02:45:00,-3.7525,313.41
 12/22  03:00:00,-3.69,310.68
 12/22  03:15:00,-3.63,312.11
 12/22  03:30:00,-3.57,309.86
 12/22  03:45:00,-3.51,313.21
 12/22  04:00:00,-3.45,314.25
 12/22  04:15:00,-3.3875,311.77
 12/22  04:30:00,-3.325,312.22
 12/22  04:45:00,-3.2625,314.03
 12/22  05:00:00,-3.2,313.85
 12/22  05:15:00,-3.0575,312.88
 12/22  05:30:00,-2.915,312.23
 12/22  05:45:00,-2.7725,310.81
 12/22  06:00:00,-2.63,313.67
 12/22  06:15:00,-2.485,312.12
 12/22  06:30:00,-2.34,311.23
 12/22  06:45:00,-2.195,313.07
 12/22  07:00:00,-2.05,311.59
 12/22  07:15:00,-1.9075,313.58
 12/22  07:30:00,-1.765,317.17
 12/22  07:45:00,-1.6225,312.19
 12/22  08:00:00,-1.48,314.98
 12/22  08:15:00,-1.09,314.19
 12/22  08:30:00,-0.7,305.5
 12/22  08:45:00,-0.31,303.1
 12/22  09:00:00,0.08,297.89
 12/22  09:15:00,0.47,294.2
 12/22  09:30:00,0.86,288.39
 12/22  09:45:00,1.25,282.77
 12/22  10:00:00,1.64,282.78
 12/22  10:15:00,2.03,289.16
 12/22  10:30:00,2.42,290.16
 12/22  10:45:00,2.81,288.02
 12/22  11:00:00,3.2,286.26
 12/22  11:15:00,3.2275,283
 12/22  11:30:00,3.255,279.03
 12/22  11:45:00,3.2825,278.69
 12/22  12:00:00,3.31,280.46
 12/22  12:15:00,3.3375,275.12
 12/22  12:30:00,3.365,274.64
 12/22  12:45:00,3.3925,275.67
 12/22  13:00:00,3.42,278.71
 12/22  13:15:00,3.4475,275.17
 12/22  13:30:00,3.475,278.42
 12/22  13:45:00,3.5025,277.12
 12/22  14:00:00,3.53,272.42
 12/22  14:15:00,3.5325,275.25
 12/22  14:30:00,3.535,277.73
 12/22  14:45:00,3.5375,274.98
 12/22  15:00:00,3.54,277.38
 12/22  15:15:00,3.54,280.51
 12/22  15:30:00,3.54,285.66
 12/22  15:45:00,3.54,285.31
 12/22  16:00:00,3.54,285.28
 12/22  16:15:00,3.5425,282.4
 12/22  16:30:00,3.545,280.07
 12/22  16:45:00,3.5475,280.48
 12/22  17:00:00,3.55,279.01
 12/22  17:15:00,3.4925,277.98
 12/22  17:30:00,3.435,278.52
 12/22  17:45:00,3.3775,277.47
 12/22  18:00:00,3.32,273.45
 12/22  18:15:00,3.265,274.21
 12/22  18:30:00,3.21,269.89
 12/22  18:45:00,3.155,268.97
 12/22  19:00:00,3.1,267.71
 12/22  19:15:00,3.0425,275.32
 12/22  19:30:00,2.985,276.34
 12/22  19:45:00,2.9275,274.03
 12/22  20:00:00,2.87,275.6
 12/22  20:15:00,2.8625,273.7
 12/22  20:30:00,2.855,269.93
 12/22  20:45:00,2.8475,271.44
 12/22  21:00:00,2.84,270.04
 12/22  21:15:00,2.8325,269.15
 12/22  21:30:00,2.825,267.9
 12/22  21:45:00,2.8175,269.54
 12/22  22:00:00,2.81,267.93
 12/22  22:15:00,2.8025,268.17
 12/22  22:30:00,2.795,268.81
 12/22  22:45:00,2.7875,265.62
 12/22  23:00:00,2.78,266.17
 12/22  23:15:00,2.71,268.49
 12/22  23:30:00,2.64,266.64
 12/22  23:45:00,2.57,268.64
 12/22  24:00:00,2.5,267.95
 12/23  00:15:00,2.43,267.02
 12/23  00:30:00,2.36,268.88
 12/23  00:45:00,2.29,267.97
 12/23  01:00:00,2.22,268.5
 12/23  01:15:00,2.15,270.71
 12/23  01:30:00,2.08,267.1
 12/23  01:45:00,2.01,267.37
 12/23  02:00:00,1.94,271.25
 12/23  02:15:00,1.945,268.13
 12/23  02:30:00,1.95,267.59
 12/23  02:45:00,1.955,270.82
 12/23  03:00:00,1.96,266.79
 12/23  03:15:00,1.9625,267.8
 12/23  03:30:00,1.965,269.86
 12/23  03:45:00,1.9675,265.95
 12/23  04:00:00,1.97,270.49
 12/23  04:15:00,1.9725,268.6
 12/23  04:30:00,1.975,267.99
 12/23  04:45:00,1.9775,267.78
 12/23  05:00:00,1.98,266.97
 12/23  05:15:00,1.9575,268.29
 12/23  05:30:00,1.935,268.6
 12/23  05:45:00,1.9125,267.03
 12/23  06:00:00,1.89,270.34
 12/23  06:15:00,1.87,266.78
 12/23  06:30:00,1.85,270.05
 12/23  06:45:00,1.83,267.38
 12/23  07:00:00,1.81,270.14
 12/23  07:15:00,1.7875,269.56
 12/23  07:30:00,1.765,272.37
 12/23  07:45:00,1.7425,274.32
 12/23  08:00:00,1.72,273.41
 12/23  08:15:00,1.92,272.91
 12/23  08:30:00,2.12,273.8
 12/23  08:45:00,2.32,271.53
 12/23  09:00:00,2.52,266.88
 12/23  09:15:00,2.72,267.13
 12/23  09:30:00,2.92,263.71
 12/23  09:45:00,3.12,260.34
 12/23  10:00:00,3.32,259.53
 12/23  10:15:00,3.5175,260.47
 12/23  10:30:00,3.715,258.27
 12/23  10:45:00,3.9125,255.43
 12/23  11:00:00,4.11,255.08
 12/23  11:15:00,4.0425,251.17
 12/23  11:30:00,3.975,250.59
 12/23  11:45:00,3.9075,247.13
 12/23  12:00:00,3.84,252.08
 12/23  12:15:00,3.7725,244.3
 12/23  12:30:00,3.705,241.39
 12/23  12:45:00,3.6375,241.75
 12/23  13:00:00,3.57,242.71
 12/23  13:15:00,3.5,239.77
 12/23  13:30:00,3.43,242.03
 12/23  13:45:00,3.36,237.94
 12/23  14:00:00,3.29,237.94
 12/23  14:15:00,3.1975,247.58
 12/23  14:30:00,3.105,251.44
 12/23  14:45:00,3.0125,253.45
 12/23  15:00:00,2.92,253.69
 12/23  15:15:00,2.8275,257.26
 12/23  15:30:00,2.735,259.73
 12/23  15:45:00,2.6425,258.64
 12/23  16:00:00,2.55,259.97
 12/23  16:15:00,2.4575,257.09
 12/23  16:30:00,2.365,256.68
 12/23  16:45:00,2.2725,256.17
 12/23  17:00:00,2.18,258.27
 12/23  17:15:00,2.125,256.29
 12/23  17:30:00,2.07,253.98
 12/23  17:45:00,2.015,254.84
 12/23  18:00:00,1.96,255.87
 12/23  18:15:00,1.9025,251.39
 12/23  18:30:00,1.845,247.43
 12/23  18:45:00,1.7875,247.29
 12/23  19:00:00,1.73,248.38
 12/23  19:15:00,1.675,255.64
 12/23  19:30:00,1.62,256.86
 12/23  19:45:00,1.565,256.55
 12/23  20:00:00,1.51,257.46
 12/23  20:15:00,1.505,255.32
 12/23  20:30:00,1.5,252.86
 12/23  20:45:00,1.495,254.6
 12/23  21:00:00,1.49,253.54
 12/23  21:15:00,1.485,257.12
 12/23  21:30:00,1.48,256.87
 12/23  21:45:00,1.475,258.82
 12/23  22:00:00,1.47,258.75
 12/23  22:15:00,1.465,259.79
 12/23  22:30:00,1.46,261.43
 12/23  22:45:00,1.455,260.63
 12/23  23:00:00,1.45,263.01
 12/23  23:15:00,1.4025,261.58
 12/23  23:30:00,1.355,263.92
 12/23  23:45:00,1.3075,262.77
 12/23  24:00:00,1.26,265.68
 12/24  00:15:00,1.2125,263.71
 12/24  00:30:00,1.165,267.36
 12/24  00:45:00,1.1175,266.26
 12/24  01:00:00,1.07,267.49
 12/24  01:15:00,1.0225,269.45
 12/24  01:30:00,0.975,269.77
 12/24  01:45:00,0.9275,271.85
 12/24  02:00:00,0.88,268.24
 12/24  02:15:00,0.86,272.33
 12/24  02:30:00,0.84,271.04
 12/24  02:45:00,0.82,272.14
 12/24  03:00:00,0.8,273.73
 12/24  03:15:00,0.78,272.82
 12/24  03:30:00,0.76,273.75
 12/24  03:45:00,0.74,277.23
 12/24  04:00:00,0.72,272.6
 12/24  04:15:00,0.7,276.27
 12/24  04:30:00,0.68,275.52
 12/24  04:45:00,0.66,276.54
 12/24  05:00:00,0.64,277.53
 12/24  05:15:00,0.655,279.32
 12/24  05:30:00,0.67,276.96
 12/24  05:45:00,0.685,276.99
 12/24  06:00:00,0.7,280.11
 12/24  06:15:00,0.715,277.57
 12/24  06:30:00,0.73,279.67
 12/24  06:45:00,0.745,280.57
 12/24  07:00:00,0.76,281.26
 12/24  07:15:00,0.775,282.96
 12/24  07:30:00,0.79,286.45
 12/24  07:45:00,0.805,285.79
 12/24  08:00:00,0.82,287.65
 12/24  08:15:00,0.99,287.59
 12/24  08:30:00,1.16,289.06
 12/24  08:45:00,1.33,286.98
 12/24  09:00:00,1.5,287.12
 12/24  09:15:00,1.67,288.86
 12/24  09:30:00,1.84,289.62
 12/24  09:45:00,2.01,286.96
 12/24  10:00:00,2.18,288.59
 12/24  10:15:00,2.3525,286.78
 12/24  10:30:00,2.525,284.85
 12/24  10:45:00,2.6975,283.97
 12/24  11:00:00,2.87,286.51
 12/24  11:15:00,2.9375,282.75
 12/24  11:30:00,3.005,282.63
 12/24  11:45:00,3.0725,282.09
 12/24  12:00:00,3.14,277.19
 12/24  12:15:00,3.2075,268.16
 12/24  12:30:00,3.275,260.98
 12/24  12:45:00,3.3425,257.48
 12/24  13:00:00,3.41,258.31
 12/24  13:15:00,3.48,254.09
 12/24  13:30:00,3.55,255.85
 12/24  13:45:00,3.62,253.71
 12/24  14:00:00,3.69,248.95
 12/24  14:15:00,3.535,253.11
 12/24  14:30:00,3.38,252.48
 12/24  14:45:00,3.225,255.28
 12/24  15:00:00,3.07,256.58
 12/24  15:15:00,2.9125,263.36
 12/24  15:30:00,2.755,268.42
 12/24  15:45:00,2.5975,270.12
 12/24  16:00:00,2.44,270.86
 12/24  16:15:00,2.285,264.77
 12/24  16:30:00,2.13,266.13
 12/24  16:45:00,1.975,266.56
 12/24  17:00:00,1.82,264.26
 12/24  17:15:00,1.965,259.35
 12/24  17:30:00,2.11,262.65
 12/24  17:45:00,2.255,260.57
 12/24  18:00:00,2.4,257.95
 12/24  18:15:00,2.545,255.72
 12/24  18:30:00,2.69,249.78
 12/24  18:45:00,2.835,250.1
 12/24  19:00:00,2.98,248.13
 12/24  19:15:00,3.125,254.24
 12/24  19:30:00,3.27,257.35
 12/24  19:45:00,3.415,255.13
 12/24  20:00:00,3.56,253.51
 12/24  20:15:00,3.7175,254
 12/24  20:30:00,3.875,248.54
 12/24  20:45:00,4.0325,249.08
 12/24  21:00:00,4.19,250.47
 12/24  21:15:00,4.345,248.85
 12/24  21:30:00,4.5,251.58
 12/24  21:45:00,4.655,248.03
 12/24  22:00:00,4.81,248.43
 12/24  22:15:00,4.9675,250.72
 12/24  22:30:00,5.125,248.67
 12/24  22:45:00,5.2825,247.36
 12/24  23:00:00,5.44,247.3
 12/24  23:15:00,5.4425,249.04
 12/24  23:30:00,5.445,248.12
 12/24  23:45:00,5.4475,248.24
 12/24  24:00:00,5.45,247.15
 12/25  00:15:00,5.455,248.84
 12/25  00:30:00,5.46,248.13
 12/25  00:45:00,5.465,250.14
 12/25  01:00:00,5.47,249.92
 12/25  01:15:00,5.4725,247.75
 12/25  01:30:00,5.475,248.04
 12/25  01:45:00,5.4775,248.56
 12/25  02:00:00,5.48,249.92
 12/25  02:15:00,5.48,248.78
 12/25  02:30:00,5.48,249.57
 12/25  02:45:00,5.48,247.35
 12/25  03:00:00,5.48,246.69
 12/25  03:15:00,5.48,247.51
 12/25  03:30:00,5.48,247.57
 12/25  03:45:00,5.48,249.48
 12/25  04:00:00,5.48,244.27
 12/25  04:15:00,5.48,249.63
 12/25  04:30:00,5.48,245.51
 12/25  04:45:00,5.48,247.99
 12/25  05:00:00,5.48,246.48
 12/25  05:15:00,5.4875,244.59
 12/25  05:30:00,5.495,245.95
 12/25  05:45:00,5.5025,245.83
 12/25  06:00:00,5.51,245.15
 12/25  06:15:00,5.52,242.75
 12/25  06:30:00,5.53,242.04
 12/25  06:45:00,5.54,243.65
 12/25  07:00:00,5.55,244.71
 12/25  07:15:00,5.5575,245.81
 12/25  07:30:00,5.565,247.57
 12/25  07:45:00,5.5725,247.38
 12/25  08:00:00,5.58,246.34
 12/25  08:15:00,5.74,246.63
 12/25  08:30:00,5.9,250.09
 12/25  08:45:00,6.06,244.52
 12/25  09:00:00,6.22,234.39
 12/25  09:15:00,6.38,234.64
 12/25  09:30:00,6.54,228.65
 12/25  09:45:00,6.7,224.78
 12/25  10:00:00,6.86,222.86
 12/25  10:15:00,7.0175,219.1
 12/25  10:30:00,7.175,214.35
 12/25  10:45:00,7.3325,211.86
 12/25  11:00:00,7.49,209.99
 12/25  11:15:00,7.4425,207.04
 12/25  11:30:00,7.395,205.92
 12/25  11:45:00,7.3475,205.9
 12/25  12:00:00,7.3,209.22
 12/25  12:15:00,7.2525,207.49
 12/25  12:30:00,7.205,208.72
 12/25  12:45:00,7.1575,209.09
 12/25  13:00:00,7.11,212.53
 12/25  13:15:00,7.0625,212.24
 12/25  13:30:00,7.015,210.22
 12/25  13:45:00,6.9675,206.45
 12/25  14:00:00,6.92,201.69
 12/25  14:15:00,6.795,203.28
 12/25  14:30:00,6.67,203.62
 12/25  14:45:00,6.545,203.87
 12/25  15:00:00,6.42,209.96
 12/25  15:15:00,6.2925,216.81
 12/25  15:30:00,6.165,221.86
 12/25  15:45:00,6.0375,227.8
 12/25  16:00:00,5.91,228.24
 12/25  16:15:00,5.785,228.52
 12/25  16:30:00,5.66,224.39
 12/25  16:45:00,5.535,226.03
 12/25  17:00:00,5.41,227.16
 12/25  17:15:00,5.3775,224.65
 12/25  17:30:00,5.345,223.83
 12/25  17:45:00,5.3125,224.37
 12/25  18:00:00,5.28,225.38
 12/25  18:15:00,5.2475,221.09
 12/25  18:30:00,5.215,217.75
 12/25  18:45:00,5.1825,216.03
 12/25  19:00:00,5.15,219.74
 12/25  19:15:00,5.1175,224.8
 12/25  19:30:00,5.085,226.82
 12/25  19:45:00,5.0525,226.43
 12/25  20:00:00,5.02,229.65
 12/25  20:15:00,5.0425,224.44
 12/25  20:30:00,5.065,223.53
 12/25  20:45:00,5.0875,223.13
 12/25  21:00:00,5.11,226.22
 12/25  21:15:00,5.1325,224.89
 12/25  21:30:00,5.155,222.56
 12/25  21:45:00,5.1775,224.84
 12/25  22:00:00,5.2,228.55
 12/25  22:15:00,5.2225,224.14
 12/25  22:30:00,5.245,224.29
 12/25  22:45:00,5.2675,226.46
 12/25  23:00:00,5.29,225.88
 12/25  23:15:00,5.2125,227.23
 12/25  23:30:00,5.135,227.21
 12/25  23:45:00,5.0575,229.74
 12/25  24:00:00,4.98,228.07
 12/26  00:15:00,4.9,237.6
 12/26  00:30:00,4.82,241.11
 12/26  00:45:00,4.74,245.18
 12/26  01:00:00,4.66,241.42
 12/26  01:15:00,4.5825,240.66
 12/26  01:30:00,4.505,244.44
 12/26  01:45:00,4.4275,242.98
 12/26  02:00:00,4.35,245.9
 12/26  02:15:00,4.3375,236.58
 12/26  02:30:00,4.325,235.31
 12/26  02:45:00,4.3125,235.75
 12/26  03:00:00,4.3,236.08
 12/26  03:15:00,4.2875,239.53
 12/26  03:30:00,4.275,237.21
 12/26  03:45:00,4.2625,237.42
 12/26  04:00:00,4.25,238.04
 12/26  04:15:00,4.2375,239.8
 12/26  04:30:00,4.225,240.67
 12/26  04:45:00,4.2125,240.09
 12/26  05:00:00,4.2,241.18
 12/26  05:15:00,4.1975,239.89
 12/26  05:30:00,4.195,241.38
 12/26  05:45:00,4.1925,242.56
 12/26  06:00:00,4.19,243.48
 12/26  06:15:00,4.1875,241.97
 12/26  06:30:00,4.185,242.82
