65,80074580,22:24:21,2020-02-12,14.0,1955.0,14257.3,57.76,63.85,60.76
66,71477358,22:25:18,2020-02-12,15.6,1597.0,5691.1,55.0,63.0,54.55
67,80074580,22:39:21,2020-02-12,9.3,1947.0,14257.8,59.6,63.94,60.76
68,80092945,22:43:27,2020-02-12,9.7,2420.0,21104.7,57.8,61.19,181.92
69,80074581,22:50:39,2020-02-12,0.6,5522.0,19006.5,62.11,62.22,1.1
70,71438771,22:57:09,2020-02-12,5.5,746.0,3703.9,55.77,61.08,17.06
71,80074581,23:05:39,2020-02-12,0.1,5531.0,19007.9,61.73,61.74,1.1
72,71477357,23:07:12,2020-02-12,4.6,1596.0,6817.8,58.38,60.93,37.84
73,80074580,23:09:21,2020-02-12,8.0,1856.0,14258.7,58.73,62.3,60.77
74,71477358,23:10:18,2020-02-12,3.6,817.0,5691.9,57.83,61.69,54.55
75,80092945,23:13:26,2020-02-12,40.8,3336.0,21106.0,48.73,59.58,181.92
76,80074580,23:24:21,2020-02-12,8.0,1800.0,14259.2,58.58,62.52,60.77
77,80074581,23:35:39,2020-02-12,0.3,5663.0,19010.7,62.37,62.38,1.1
78,71477357,23:37:12,2020-02-12,3.5,868.0,6818.5,57.77,61.16,37.84
79,71438771,23:42:08,2020-02-12,3.8,772.0,3704.5,57.53,62.13,17.06
80,71477357,23:52:12,2020-02-12,3.6,876.0,6818.7,59.14,62.85,37.84
81,80074580,23:54:21,2020-02-12,8.3,1832.0,14260.1,60.11,64.32,60.78
82,80092945,23:58:27,2020-02-12,29.3,2481.0,21107.9,49.75,61.61,181.94
83,71438771,0:12:08,2020-02-13,2.3,708.0,3704.9,59.46,62.42,17.06
84,80092945,0:13:27,2020-02-13,9.0,1664.0,21108.4,56.59,61.37,181.94
85,80074581,0:20:39,2020-02-13,1.0,5613.0,19015.0,62.88,63.03,1.1
86,71477357,0:22:12,2020-02-13,15.5,885.0,6819.1,45.82,61.34,37.84
87,71477358,0:25:18,2020-02-13,13.7,1634.0,5693.3,56.12,63.14,54.56
88,71438771,0:27:08,2020-02-13,3.4,690.0,3705.0,58.12,61.88,17.06
89,80092948,0:33:47,2020-02-13,9.7,5712.0,64474.4,60.96,62.48,122.05
90,71477357,0:37:12,2020-02-13,3.8,884.0,6819.4,58.54,62.26,37.84
91,80074580,0:39:21,2020-02-13,8.0,1816.0,14261.5,60.98,64.89,60.78
92,71477358,0:40:18,2020-02-13,4.2,808.0,5693.6,59.29,63.86,54.56
